Date,Open,High,Low,Close,Adj Close,Volume,var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),previous-close,movement
2016-04-05,109.51,110.73,109.42,109.81,103.48,26578700,107.68,109.56,108.99,109.99,111.12,111.12,down
2016-04-06,110.23,110.98,109.2,110.96,104.56,26404100,109.56,108.99,109.99,111.12,109.81,109.81,up
2016-04-07,109.95,110.42,108.12,108.54,102.28,31801900,108.99,109.99,111.12,109.81,110.96,110.96,down
2016-04-08,108.91,109.77,108.17,108.66,102.4,23581700,109.99,111.12,109.81,110.96,108.54,108.54,up
2016-04-11,108.97,110.61,108.83,109.02,102.74,29407500,111.12,109.81,110.96,108.54,108.66,108.66,up
2016-04-12,109.34,110.5,108.66,110.44,104.07,27232300,109.81,110.96,108.54,108.66,109.02,109.02,up
2016-04-13,110.8,112.34,110.8,112.04,105.58,33257300,110.96,108.54,108.66,109.02,110.44,110.44,up
2016-04-14,111.62,112.39,111.33,112.1,105.64,25473900,108.54,108.66,109.02,110.44,112.04,112.04,up
2016-04-15,112.11,112.3,109.73,109.85,103.52,46939000,108.66,109.02,110.44,112.04,112.1,112.1,down
2016-04-18,108.89,108.95,106.94,107.48,101.29,60821500,109.02,110.44,112.04,112.1,109.85,109.85,down
2016-04-19,107.88,108.0,106.23,106.91,100.75,32384900,110.44,112.04,112.1,109.85,107.48,107.48,down
2016-04-20,106.64,108.09,106.06,107.13,100.96,30611000,112.04,112.1,109.85,107.48,106.91,106.91,up
2016-04-21,106.93,106.93,105.52,105.97,99.86,31552500,112.1,109.85,107.48,106.91,107.13,107.13,down
2016-04-22,105.01,106.48,104.62,105.68,99.59,33683100,109.85,107.48,106.91,107.13,105.97,105.97,down
2016-04-25,105.0,105.65,104.51,105.08,99.02,28031600,107.48,106.91,107.13,105.97,105.68,105.68,down
2016-04-26,103.91,105.3,103.91,104.35,98.34,56016200,106.91,107.13,105.97,105.68,105.08,105.08,down
2016-04-27,96.0,98.71,95.68,97.82,92.18,114602100,107.13,105.97,105.68,105.08,104.35,104.35,down
2016-04-28,97.61,97.88,94.25,94.83,89.36,82242700,105.97,105.68,105.08,104.35,97.82,97.82,down
2016-04-29,93.99,94.72,92.51,93.74,88.34,68531500,105.68,105.08,104.35,97.82,94.83,94.83,down
2016-05-02,93.97,94.08,92.4,93.64,88.24,48160100,105.08,104.35,97.82,94.83,93.74,93.74,down
2016-05-03,94.2,95.74,93.68,95.18,89.69,56831300,104.35,97.82,94.83,93.74,93.64,93.64,up
2016-05-04,95.2,95.9,93.82,94.19,88.76,41025500,97.82,94.83,93.74,93.64,95.18,95.18,down
2016-05-05,94.0,94.07,92.68,93.24,88.4,35890500,94.83,93.74,93.64,95.18,94.19,94.19,down
2016-05-06,93.37,93.45,91.85,92.72,87.91,43699900,93.74,93.64,95.18,94.19,93.24,93.24,down
2016-05-09,93.0,93.77,92.59,92.79,87.97,32936400,93.64,95.18,94.19,93.24,92.72,92.72,up
2016-05-10,93.33,93.57,92.11,93.42,88.57,33686800,95.18,94.19,93.24,92.72,92.79,92.79,up
2016-05-11,93.48,93.57,92.46,92.51,87.71,28719100,94.19,93.24,92.72,92.79,93.42,93.42,down
2016-05-12,92.72,92.78,89.47,90.34,85.65,76314700,93.24,92.72,92.79,93.42,92.51,92.51,down
2016-05-13,90.0,91.67,90.0,90.52,85.82,44392800,92.72,92.79,93.42,92.51,90.34,90.34,up
2016-05-16,92.39,94.39,91.65,93.88,89.01,61259800,92.79,93.42,92.51,90.34,90.52,90.52,up
2016-05-17,94.55,94.7,93.01,93.49,88.64,46916900,93.42,92.51,90.34,90.52,93.88,93.88,down
2016-05-18,94.16,95.21,93.89,94.56,89.65,42062400,92.51,90.34,90.52,93.88,93.49,93.49,up
2016-05-19,94.64,94.64,93.57,94.2,89.31,30442100,90.34,90.52,93.88,93.49,94.56,94.56,down
2016-05-20,94.64,95.43,94.52,95.22,90.28,32026000,90.52,93.88,93.49,94.56,94.2,94.2,up
2016-05-23,95.87,97.19,95.67,96.43,91.43,38018600,93.88,93.49,94.56,94.2,95.22,95.22,up
2016-05-24,97.22,98.09,96.84,97.9,92.82,35140200,93.49,94.56,94.2,95.22,96.43,96.43,up
2016-05-25,98.67,99.74,98.11,99.62,94.45,38168800,94.56,94.2,95.22,96.43,97.9,97.9,up
2016-05-26,99.68,100.73,98.64,100.41,95.2,56331200,94.2,95.22,96.43,97.9,99.62,99.62,up
2016-05-27,99.44,100.47,99.25,100.35,95.14,36341200,95.22,96.43,97.9,99.62,100.41,100.41,down
2016-05-31,99.6,100.4,98.82,99.86,94.68,42307200,96.43,97.9,99.62,100.41,100.35,100.35,down
2016-06-01,99.02,99.54,98.33,98.46,93.35,29173300,97.9,99.62,100.41,100.35,99.86,99.86,down
2016-06-02,97.6,97.84,96.63,97.72,92.65,40191600,99.62,100.41,100.35,99.86,98.46,98.46,down
2016-06-03,97.79,98.27,97.45,97.92,92.84,28504900,100.41,100.35,99.86,98.46,97.72,97.72,up
2016-06-06,97.99,101.89,97.55,98.63,93.51,23292500,100.35,99.86,98.46,97.72,97.92,97.92,up
2016-06-07,99.25,99.87,98.96,99.03,93.89,22409500,99.86,98.46,97.72,97.92,98.63,98.63,up
2016-06-08,99.02,99.56,98.68,98.94,93.81,20848100,98.46,97.72,97.92,98.63,99.03,99.03,down
2016-06-09,98.5,99.99,98.46,99.65,94.48,26601400,97.72,97.92,98.63,99.03,98.94,98.94,up
2016-06-10,98.53,99.35,98.48,98.83,93.7,31712900,97.92,98.63,99.03,98.94,99.65,99.65,down
2016-06-13,98.69,99.12,97.1,97.34,92.29,38020500,98.63,99.03,98.94,99.65,98.83,98.83,down
2016-06-14,97.32,98.48,96.75,97.46,92.4,31931900,99.03,98.94,99.65,98.83,97.34,97.34,up
2016-06-15,97.82,98.41,97.03,97.14,92.1,29445200,98.94,99.65,98.83,97.34,97.46,97.46,down
2016-06-16,96.45,97.75,96.07,97.55,92.49,31326800,99.65,98.83,97.34,97.46,97.14,97.14,up
